Date,Description,Montant
01/12/2024,Salaire,2500
02/12/2024,Courses Carrefour,-85.50
03/12/2024,Essence,-65
23/08/2025,VIREMENT VERS COMPTE CHEQUE,
22/08/2025,INTERMARCHE,
22/08/2025,AU PETIT MAGASIN BLEU,
22/08/2025,PAYPAL,
21/08/2025,VIREMENT VERS COMPTE CHEQUE,
21/08/2025,VIREMENT VERS COMPTE CHEQUE,
21/08/2025,CARREFOUR OR SC ,
21/08/2025,Google YouTubeP ,
20/08/2025,Bpce Financement,
20/08/2025,VIREMENT VERS COMPTE CHEQUE,
20/08/2025,CARREFOUR FRANC ,
19/08/2025,FRAIS BANCAIRES,
19/08/2025,LE SAINT VINCEN ,
19/08/2025,CARREFOUR OR SC ,
19/08/2025,xtb.com ,
19/08/2025,APPLE.COM/BILL ,
19/08/2025,TF1 PLUS,
19/08/2025,ELECLERC,
19/08/2025,ACTION,
18/08/2025,REMISE COTISATIONS,
18/08/2025,COTISATIONS BANCAIRES,
18/08/2025,COTISATIONS BANCAIRES,
18/08/2025,FRAIS BANCAIRES,
18/08/2025,ALDI,
18/08/2025,LIDL,
18/08/2025,RIGOLLET REGIS ,
18/08/2025,LA PAUSE GOURMANDE,
18/08/2025,WWW.PERPLEXITY. ,
16/08/2025,VIREMENT VERS COMPTE CHEQUE,
16/08/2025,LOVABLE ,
15/08/2025,URBAN FOOD ,
15/08/2025,EURL BOYER JONA ,
15/08/2025,PHARMACIE DU THEATRE,
14/08/2025,CARREFOUR FRANC ,
14/08/2025,CARREFOUR OR SC ,
13/08/2025,CARREFOUR FRANC ,
13/08/2025,RETRAIT D'ESPECES,
13/08/2025,Google Play App ,
12/08/2025,carrefour orl ,
12/08/2025,carrefour orl ,
12/08/2025,CARREFOUR OR SC ,
12/08/2025,GRAND FRAIS,
12/08/2025,APPLE.COM/BILL ,
11/08/2025,VIREMENT VERS COMPTE CHEQUE,
11/08/2025,VIREMENT VERS COMPTE CHEQUE,
11/08/2025,CARREFOUR OR SC ,
11/08/2025,LIDL,
11/08/2025,CARREFOUR OR SC ,
11/08/2025,CARREFOUR OR SC ,
11/08/2025,CARREFOUR OR SC ,
